stroke,event_m,energy_system,focus,exercise_name,exercise_type,description,equipment,primary_muscles,sets,reps_or_time,distance_or_load,interval_or_rest_s,RPE_1_10,progression,regression,notes
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,800,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Underwater dolphin to 12.5m,pool,Fast streamline kick off wall to 12.5m then breakout,fins (optional),core;glutes;hip flexors,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Underwater dolphin to 12.5m'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Breakout 25s (12.5m fast to surface),pool,Max acceleration to surface then hold speed,none,lats;shoulders;triceps,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Breakout 25s (12.5m fast to surface)'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Catch-up with snorkel,pool,Front quadrant timing; maintain high elbow catch,snorkel,lats;shoulders;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Catch-up with snorkel'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,6-3-6 drill,pool,"Six kicks side-balance, three strokes, six kicks other side",none,core;shoulders,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on '6-3-6 drill'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Paddles + pull buoy (hypoxic 5:7),pool,Strengthen pull; long lines; reduced kick,paddles;pull buoy,lats;triceps;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Paddles + pull buoy (hypoxic 5:7)'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Parachute sprint 25s,pool,Overload speed with light drag chute,drag chute,glutes;quads;hamstrings,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Parachute sprint 25s'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Tempo Trainer 50/100 pace,pool,Stroke-rate consistency with beeper,tempo trainer,cardiorespiratory;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Tempo Trainer 50/100 pace'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Vertical kick (dolphin→flutter),pool,"Power kicking; chest out, neutral spine",dumbbell or med ball,hip flexors;glutes;core,3–4,6×100 or 8×100,100m @ steady/aerobic,20–30,6–7,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Economy & rhythm; relaxed effort on 'Vertical kick (dolphin→flutter)'
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Freestyle,1500,"Aerobic endurance (tempo, efficiency, pacing)",pacing;efficiency;breathing;turns;technique,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Underwater dolphin 4–8 kicks,pool,"Streamline on back, disciplined breakout",fins (optional),core;glutes,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Underwater dolphin 4–8 kicks'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Single-arm backstroke,pool,Head still; body roll; feel of catch,snorkel (optional),shoulders;lats;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Single-arm backstroke'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Scull #1 + 25 back,pool,Front scull then swim focusing on catch,none,forearms;lats;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Scull #1 + 25 back'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Back kick streamline,pool,"Tight line, hips near surface",none,hip flexors;glutes;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Back kick streamline'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Spin 25s (high tempo),pool,High-cadence 25s with control,tempo trainer (optional),shoulders;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Spin 25s (high tempo)'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,3 strokes + 6 kicks,pool,"Balance, timing of rotation",none,core;glutes;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on '3 strokes + 6 kicks'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Flags count + flip + breakout,pool,Turn accuracy and speed,none,core;quads;glutes,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Flags count + flip + breakout'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Pull w/ snorkel,pool,Head still; vertical forearm pull,snorkel;pull buoy;paddles,lats;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Pull w/ snorkel'
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Backstroke,50,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Underwater dolphin 4–8 kicks,pool,"Streamline on back, disciplined breakout",fins (optional),core;glutes,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Underwater dolphin 4–8 kicks'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Single-arm backstroke,pool,Head still; body roll; feel of catch,snorkel (optional),shoulders;lats;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Single-arm backstroke'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Scull #1 + 25 back,pool,Front scull then swim focusing on catch,none,forearms;lats;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Scull #1 + 25 back'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Back kick streamline,pool,"Tight line, hips near surface",none,hip flexors;glutes;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Back kick streamline'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Spin 25s (high tempo),pool,High-cadence 25s with control,tempo trainer (optional),shoulders;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Spin 25s (high tempo)'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,3 strokes + 6 kicks,pool,"Balance, timing of rotation",none,core;glutes;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on '3 strokes + 6 kicks'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Flags count + flip + breakout,pool,Turn accuracy and speed,none,core;quads;glutes,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Flags count + flip + breakout'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Pull w/ snorkel,pool,Head still; vertical forearm pull,snorkel;pull buoy;paddles,lats;triceps;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Pull w/ snorkel'
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Backstroke,100,ATP-PC & anaerobic glycolytic (high lactate),start;breakout;underwaters;tempo;turns,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Underwater dolphin 4–8 kicks,pool,"Streamline on back, disciplined breakout",fins (optional),core;glutes,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Underwater dolphin 4–8 kicks'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Single-arm backstroke,pool,Head still; body roll; feel of catch,snorkel (optional),shoulders;lats;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Single-arm backstroke'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Scull #1 + 25 back,pool,Front scull then swim focusing on catch,none,forearms;lats;shoulders,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Scull #1 + 25 back'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Back kick streamline,pool,"Tight line, hips near surface",none,hip flexors;glutes;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Back kick streamline'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Spin 25s (high tempo),pool,High-cadence 25s with control,tempo trainer (optional),shoulders;triceps;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Spin 25s (high tempo)'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,3 strokes + 6 kicks,pool,"Balance, timing of rotation",none,core;glutes;shoulders,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for '3 strokes + 6 kicks'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Flags count + flip + breakout,pool,Turn accuracy and speed,none,core;quads;glutes,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Flags count + flip + breakout'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Pull w/ snorkel,pool,Head still; vertical forearm pull,snorkel;pull buoy;paddles,lats;triceps;core,4–5,4×50 or 6×50,50m @ strong pace,30–45,7–8,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Hold pace; tight turns for 'Pull w/ snorkel'
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Pull-ups (strict),dryland,Strengthen prime movers for stroke propulsion,pull-up bar,lats;triceps;scapular stabilizers,4,5–8,bodyweight or moderate load,120,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Add weight over time
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Lat pulldown,dryland,Strengthen prime movers for stroke propulsion,cable machine,lats;triceps,3–4,8–12,bodyweight or moderate load,90,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Full ROM; no shrugging
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Dumbbell row (single-arm),dryland,Strengthen prime movers for stroke propulsion,dumbbell,lats;rear delts;core,3–4,8–10/side,bodyweight or moderate load,75,7–8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Neutral spine
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Barbell back squat,dryland,Strengthen prime movers for stroke propulsion,barbell,quads;glutes;hamstrings,4–5,5–8,bodyweight or moderate load,150,8–9,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Depth parallel
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Romanian deadlift,dryland,Strengthen prime movers for stroke propulsion,barbell/dumbbell,hamstrings;glutes;erectors,3–5,6–10,bodyweight or moderate load,120,8,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hinge; soft knees
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Push-up / Ring push-up,dryland,Strengthen prime movers for stroke propulsion,rings/floor,chest;triceps;core,3–5,10–20,bodyweight or moderate load,60,6–7,Add load or slower eccentric (3–1–1),Assisted variation or lighter load,Hollow body
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Shoulder external rotation (band),mobility,Restore positions; improve ROM and shoulder health,light band,rotator cuff;rear delts,2–3,12–15,N/A,0,6,Longer holds or controlled range expansion,Shorter holds; reduce range,Elbow by side
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Thoracic spine opener (foam roller),mobility,Restore positions; improve ROM and shoulder health,foam roller,t-spine;scapular,2–3,60s,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Slow breathing
Backstroke,200,Mixed anaerobic + aerobic (race-pace & threshold),race-pace;tempo;turns;underwaters;technique,Hip flexor stretch (couch),mobility,Restore positions; improve ROM and shoulder health,mat,hip flexors,2–3,60s/side,N/A,0,5,Longer holds or controlled range expansion,Shorter holds; reduce range,Posterior pelvic tilt
Breaststroke,50,ATP-PC & anaerobic glycolytic (high lactate),pullout;timing;tempo;turns;power,Pullout to 12.5m,pool,Streamline + dolphin + pullout + kick timing,none,lats;chest;core;glutes,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Pullout to 12.5m'
Breaststroke,50,ATP-PC & anaerobic glycolytic (high lactate),pullout;timing;tempo;turns;power,2-kick/1-pull,pool,Timing emphasis and bodyline,none,adductors;glutes;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on '2-kick/1-pull'
Breaststroke,50,ATP-PC & anaerobic glycolytic (high lactate),pullout;timing;tempo;turns;power,Breast kick on back,pool,Heels to hips; knees narrow; snap,none,adductors;hamstrings;core,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Breast kick on back'
Breaststroke,50,ATP-PC & anaerobic glycolytic (high lactate),pullout;timing;tempo;turns;power,Scull in-sweep + glide,pool,"Feel of in-sweep; hold glide, low drag",none,forearms;lats;chest,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Scull in-sweep + glide'
Breaststroke,50,ATP-PC & anaerobic glycolytic (high lactate),pullout;timing;tempo;turns;power,Forearm paddles (Fulcrum),pool,Reinforce high elbow and pressure,finis fulcrum,forearms;shoulders,4–6,6×25,25m @ race-pace,30–60,8–9,Increase reps or tighten send-off by 5s,Reduce reps; add fins/snorkel assistance,Explosive; focus quality on 'Forearm paddles (Fulcrum)'
